# Question|A|B|C|D|CorrectIndex
int x = 1;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|Error|C|B|A|3
int arr[] = { 22, 18, 26 };\nint* p = arr;\ncout << *(p + 1);|Address|Error|18|26|2
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(3);\n}|13|10|Error|0|0
int x = 2;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|C|Error|A|B|3
int arr[] = { 39, 25, 18 };\nint* p = arr;\ncout << *(p + 1);|Address|18|25|39|2
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(2);\n}|0|Error|12|2|2
int x = 2;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|B|C|Error|A|0
int arr[] = { 14, 35, 41 };\nint* p = arr;\ncout << *(p + 1);|41|Error|35|Address|2
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(4);\n}|14|10|4|0|0
int x = 1;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|A|Error|B|C|0
int arr[] = { 47, 24, 22 };\nint* p = arr;\ncout << *(p + 1);|47|22|Error|24|3
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(2);\n}|10|0|12|2|2
int x = 3;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|Error|A|C|B|2
int arr[] = { 38, 40, 34 };\nint* p = arr;\ncout << *(p + 1);|40|34|Address|Error|0
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(5);\n}|10|15|0|5|1
int x = 1;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|Error|B|C|A|3
int arr[] = { 27, 29, 50 };\nint* p = arr;\ncout << *(p + 1);|Error|29|27|Address|1
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(4);\n}|0|10|Error|14|3
int x = 2;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|B|C|Error|A|0
int arr[] = { 11, 23, 42 };\nint* p = arr;\ncout << *(p + 1);|Error|Address|23|42|2
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(3);\n}|3|Error|10|13|3
int x = 1;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|B|Error|A|C|2
int arr[] = { 44, 32, 39 };\nint* p = arr;\ncout << *(p + 1);|39|32|Error|Address|1
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(3);\n}|0|Error|10|13|3
int x = 3;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|Error|C|A|B|1
int arr[] = { 37, 24, 28 };\nint* p = arr;\ncout << *(p + 1);|Error|37|Address|24|3
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(4);\n}|10|4|Error|14|3
int x = 2;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|C|B|Error|A|1
int arr[] = { 17, 13, 31 };\nint* p = arr;\ncout << *(p + 1);|13|Error|17|Address|0
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(2);\n}|10|Error|2|12|3
int x = 2;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|C|Error|B|A|2
int arr[] = { 47, 43, 33 };\nint* p = arr;\ncout << *(p + 1);|43|47|Error|33|0
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(5);\n}|15|10|5|Error|0
int x = 3;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|B|A|Error|C|3
int arr[] = { 23, 38, 24 };\nint* p = arr;\ncout << *(p + 1);|38|Error|Address|23|0
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(2);\n}|12|10|Error|0|0
int x = 3;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|B|A|Error|C|3
int arr[] = { 23, 39, 12 };\nint* p = arr;\ncout << *(p + 1);|Error|23|39|12|2
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(3);\n}|Error|13|0|3|1
int x = 1;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|C|Error|B|A|3
int arr[] = { 36, 20, 25 };\nint* p = arr;\ncout << *(p + 1);|25|Address|Error|20|3
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(2);\n}|2|0|12|10|2
int x = 3;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|Error|C|A|B|1
int arr[] = { 20, 10, 22 };\nint* p = arr;\ncout << *(p + 1);|Error|10|Address|22|1
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(3);\n}|10|3|13|0|2
int x = 1;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|A|C|B|Error|0
int arr[] = { 19, 48, 23 };\nint* p = arr;\ncout << *(p + 1);|Address|19|48|Error|2
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(4);\n}|14|10|Error|4|0
int x = 2;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|A|C|Error|B|3
int arr[] = { 16, 42, 34 };\nint* p = arr;\ncout << *(p + 1);|42|Address|16|Error|0
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(3);\n}|10|13|0|Error|1
int x = 3;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|A|Error|B|C|3
int arr[] = { 15, 26, 15 };\nint* p = arr;\ncout << *(p + 1);|Address|15|Error|26|3
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(3);\n}|0|3|13|Error|2
int x = 2;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|B|C|Error|A|0
int arr[] = { 39, 25, 49 };\nint* p = arr;\ncout << *(p + 1);|39|25|Error|Address|1
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(4);\n}|Error|10|0|14|3
int x = 2;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|A|C|B|Error|2
int arr[] = { 37, 46, 38 };\nint* p = arr;\ncout << *(p + 1);|37|38|46|Address|2
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(5);\n}|0|Error|5|15|3
int x = 1;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|B|C|A|Error|2
int arr[] = { 43, 34, 36 };\nint* p = arr;\ncout << *(p + 1);|36|Error|Address|34|3
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(4);\n}|4|Error|10|14|3
int x = 1;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|C|B|Error|A|3
int arr[] = { 14, 23, 11 };\nint* p = arr;\ncout << *(p + 1);|Error|11|23|14|2
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(2);\n}|12|10|0|2|0
