# Question|A|B|C|D|CorrectIndex
int x = 7;\nif (x > 12) {\n    cout << "Yes";\n}\nelse {\n    cout << "No";\n}|Error|Yes|None|No|3
int count = 0;\nfor(int i=0; i<6; i++) {\n    count++;\n}\ncout << count;|0|6|7|5|1
What is the output?\n\nint a = 2;\nint b = 9;\ncout << a + b;|10|0|22|11|3
int x = 8;\nif (x > 14) {\n    cout << "Yes";\n}\nelse {\n    cout << "No";\n}|Yes|No|None|Error|1
int count = 0;\nfor(int i=0; i<3; i++) {\n    count++;\n}\ncout << count;|2|Infinite|4|3|3
What is the output?\n\nint a = 6;\nint b = 6;\ncout << a + b;|12|10|24|11|0
int x = 5;\nif (x > 7) {\n    cout << "Yes";\n}\nelse {\n    cout << "No";\n}|None|Yes|Error|No|3
int count = 0;\nfor(int i=0; i<4; i++) {\n    count++;\n}\ncout << count;|Infinite|4|0|3|1
What is the output?\n\nint a = 2;\nint b = 2;\ncout << a - b;|10|0|-1|1|1
int x = 14;\nif (x > 5) {\n    cout << "Yes";\n}\nelse {\n    cout << "No";\n}|None|No|Yes|Error|2
int count = 0;\nfor(int i=0; i<6; i++) {\n    count++;\n}\ncout << count;|5|7|6|Infinite|2
What is the output?\n\nint a = 8;\nint b = 6;\ncout << a + b;|0|14|13|10|1
int x = 13;\nif (x > 13) {\n    cout << "Yes";\n}\nelse {\n    cout << "No";\n}|Error|None|Yes|No|3
int count = 0;\nfor(int i=0; i<5; i++) {\n    count++;\n}\ncout << count;|4|0|6|5|3
What is the output?\n\nint a = 9;\nint b = 5;\ncout << a % b;|0|10|3|4|3
int x = 13;\nif (x > 8) {\n    cout << "Yes";\n}\nelse {\n    cout << "No";\n}|None|Error|Yes|No|2
int count = 0;\nfor(int i=0; i<5; i++) {\n    count++;\n}\ncout << count;|0|4|5|Infinite|2
What is the output?\n\nint a = 4;\nint b = 9;\ncout << a + b;|13|10|0|26|0
int x = 7;\nif (x > 14) {\n    cout << "Yes";\n}\nelse {\n    cout << "No";\n}|Error|No|None|Yes|1
int count = 0;\nfor(int i=0; i<5; i++) {\n    count++;\n}\ncout << count;|0|Infinite|4|5|3
What is the output?\n\nint a = 9;\nint b = 6;\ncout << a + b;|16|10|14|15|3
int x = 15;\nif (x > 8) {\n    cout << "Yes";\n}\nelse {\n    cout << "No";\n}|Error|No|Yes|None|2
int count = 0;\nfor(int i=0; i<4; i++) {\n    count++;\n}\ncout << count;|3|4|Infinite|0|1
What is the output?\n\nint a = 5;\nint b = 6;\ncout << a % b;|10|4|5|0|2
int x = 12;\nif (x > 8) {\n    cout << "Yes";\n}\nelse {\n    cout << "No";\n}|No|Yes|None|Error|1
int count = 0;\nfor(int i=0; i<5; i++) {\n    count++;\n}\ncout << count;|4|0|5|6|2
What is the output?\n\nint a = 3;\nint b = 8;\ncout << a + b;|12|11|10|22|1
int x = 15;\nif (x > 6) {\n    cout << "Yes";\n}\nelse {\n    cout << "No";\n}|Yes|None|Error|No|0
int count = 0;\nfor(int i=0; i<3; i++) {\n    count++;\n}\ncout << count;|2|Infinite|3|4|2
What is the output?\n\nint a = 10;\nint b = 10;\ncout << a * b;|99|0|200|100|3
int x = 6;\nif (x > 9) {\n    cout << "Yes";\n}\nelse {\n    cout << "No";\n}|Error|No|Yes|None|1
int count = 0;\nfor(int i=0; i<4; i++) {\n    count++;\n}\ncout << count;|4|5|0|Infinite|0
What is the output?\n\nint a = 6;\nint b = 7;\ncout << a - b;|-2|10|-1|0|2
int x = 8;\nif (x > 14) {\n    cout << "Yes";\n}\nelse {\n    cout << "No";\n}|Yes|None|No|Error|2
int count = 0;\nfor(int i=0; i<4; i++) {\n    count++;\n}\ncout << count;|5|4|0|3|1
